publishedAt,authorDisplayName,textDisplay,likeCount
2024-05-26T13:01:38Z,@KimbabFamily,1000 won = 11.739 rupiah kurang lebih yaa Keluarga Online ❤,528
2024-05-26T13:08:21Z,@ditaandini236,Yeeeeayy belanja bulanan ❤<br>Makasih kimbab family udah ngajak belanja online lagi 😍🥰,13
2024-05-26T21:50:40Z,@diangem2,Di indo dulu ada makro. Tp skrg udh tutup,1
2024-05-27T00:48:54Z,@Revan_adiba,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=69"">1:09</a>",3
2024-05-27T02:29:32Z,@Anggra-mk5qf,Costco ya itu mall nya?,2
2024-05-27T03:54:00Z,@KevinTejakusuma208,"Evening up akan kembali dengan informasi menarik lainnya, tetaplah bersama kami, lanjut pura-pura ngobrol",1
2024-06-10T23:18:06Z,@duapuluhlima733,jio asbun banget 🤣,0
2024-06-10T16:45:17Z,@End102,Olahraga nya apa mama gina? Anak 3 tp singset banget,0
2024-06-10T15:56:45Z,@riequithaniaputri,dede jio asbun bangett gemesss😂,0
2024-06-10T08:12:35Z,@elmasyafiranayla2023,Hehe nontonnya sambil makan rujak kacang gula merah😂,0
2024-06-08T15:27:56Z,@yulisariningrum4531,"Neng suji udah gadis ya.. lama nggak nonton youtube, kangen banget sama kimbab family ❤",0
2024-06-08T13:44:44Z,@user-ow6qk2mq4x,"Teh gina pengen liat tth dandan pasti lebih cantik, natural aja udh cantik cm penasaran aja klo pke lipstik agk berwarna gmn gtu😅",0
2024-06-08T13:42:12Z,@uswaaa8788,kalo di indonesia itu namanya grosir kann,1
2024-06-08T10:30:45Z,@callystaokta7583,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=1014"">16:54</a> NGETAWAIN JIO LIMA MENIT 😭😭😭😭😭😭😭",0
2024-06-08T07:47:22Z,@gontulent8873,"Pernah ngobrol sama atase perdagangan kbri dikorea,produk indonesia unggas ,buah susah masuk ke korea padahal produk tailand banyak ayam dikorea",1
2024-06-07T11:27:20Z,@SyakilaKeishaAzalia,Nangakak liat jio pas makan pisang 😂😂😂😂,0
2024-06-07T02:26:08Z,@mulyeoggaming7374,Manggis sekilo bisa mahal gitu ya,0
2024-06-07T01:43:09Z,@melindadwidamayanti6121,"<a href=""https://www.youtube.com/watch?v=OejRGgzt3Y4&amp;t=371"">6:11</a> ngakak bgt mama gini panggil hey ke papa jay trs namanya jadi HEY di atas kepala🤣🤣🤣",0
2024-06-06T10:41:40Z,@YoutuberPemulaNih_,Indonesia harus supplai Korea Selatan buah buahan dan sayuran yang tidak ada di Korea Selatan,0
2024-06-06T02:42:25Z,@user-iz8zx9hz8d,"Akhir² ini di daerahku musim manggis,2kg harga 15ribu😊",1
2024-06-04T15:39:48Z,@zyalivaripa2049,Mau nikah sama oppa oppa juga :(,0
2024-06-04T15:10:17Z,@Mieayam95,Ottokeee mama gina cantikkk parah,0
2024-06-04T03:07:14Z,@kalisyainun,kenapa sih bapak-bapak hobi banget beli kaos kaki,0
2024-06-03T11:40:15Z,@fajriyatulmasbachah8144,"Salah fokus sama tanaman lebat yg di kebun , jadi kangen kimbab family berkebun",0
2024-06-03T11:15:37Z,@diniyolindasari3560,Susah banget dapat danisa di Indonesia,0
2024-06-03T09:44:21Z,@SilaErsintar,Semangatttt❤❤,0
2024-06-03T09:28:02Z,@DimasFajar-ns4vb,buah nanas ada yang warna pink,0
2024-06-03T03:22:42Z,@Azkiazz-ws3yq,Udah kyk mall😅,1
2024-06-03T02:14:48Z,@AGL0893,Baru tau kak rujak bsa pke ubi. Itu dimkn mentah?,0
2024-06-02T13:09:23Z,@anisapratiwi7912,Teh gina spill tas yg dipake donk lucu bgt 😍,0
2024-06-02T09:03:11Z,@aqilahumairoh6548,Kapan upload lgi kimbab family?,0
2024-06-02T06:43:47Z,@fikrinbl19,sehat selalu kimbab family,0
